accountnumber,b2bcnt2y,model2score,sbfecardcount
a3P4u0000054mk3EAA,0.0,719,-99.0
a3P4u0000054mk8EAA,0.0,717,-99.0
a3P4u0000054mkDEAQ,0.0,617,-99.0
a3P4u0000054mkXEAQ,1.0,722,5.0
a3P4u0000054mkhEAA,0.0,730,-99.0
a3P4u0000054mkmEAA,0.0,700,-99.0
a3P4u0000054ml6EAA,0.0,635,-99.0
a3P4u0000054mlBEAQ,-99999.0,742,2.0
a3P4u0000054mlGEAQ,0.0,716,-99.0
a3P4u0000054mlLEAQ,1.0,782,3.0
a3P4u0000054mlkEAA,0.0,705,-99.0
a3P4u0000054mluEAA,0.0,706,-99.0
a3P4u0000054mm9EAA,0.0,770,0.0
a3P4u0000054mmEEAQ,1.0,802,3.0
a3P4u0000054mmTEAQ,0.0,708,-99.0
a3P4u0000054mmYEAQ,0.0,711,-99.0
a3P4u0000054mmsEAA,0.0,680,-99.0
a3P4u0000054mmxEAA,0.0,700,-99.0
a3P4u0000054mn2EAA,0.0,711,1.0
a3P4u0000054mn7EAA,0.0,735,-99.0
a3P4u0000054mnHEAQ,1.0,672,-99.0
a3P4u0000054mnREAQ,1.0,630,-99.0
a3P4u0000054mnWEAQ,5.0,676,-99.0
a3P4u0000054mnbEAA,1.0,613,-99.0
a3P4u0000054mngEAA,0.0,670,2.0
a3P4u0000054mnqEAA,0.0,623,0.0
a3P4u0000054moFEAQ,0.0,730,-99.0
a3P4u0000054moKEAQ,0.0,537,-99.0
a3P4u0000054moZEAQ,0.0,703,-99.0
a3P4u0000054mojEAA,0.0,701,-99.0
a3P4u0000054mooEAA,0.0,667,-99.0
a3P4u0000054mp3EAA,0.0,701,-99.0
a3P4u0000054mpDEAQ,0.0,688,-99.0
a3P4u0000054mpIEAQ,0.0,722,1.0
a3P4u0000054mpNEAQ,0.0,669,-99.0
a3P4u0000054mphEAA,0.0,685,1.0
a3P4u0000054mprEAA,0.0,673,-99.0
a3P4u0000054mpwEAA,0.0,680,3.0
a3P4u0000054mq1EAA,-99999.0,222,-99.0
a3P4u0000054mqWEAQ,1.0,692,1.0
a3P4u0000054mqgEAA,0.0,724,-99.0
a3P4u0000054mqvEAA,1.0,663,-99.0
a3P4u0000054mr5EAA,1.0,718,-99.0
a3P4u0000054mrAEAQ,0.0,663,-99.0
a3P4u0000054mrFEAQ,0.0,707,-99.0
a3P4u0000054mrKEAQ,0.0,693,-99.0
a3P4u0000054mrUEAQ,0.0,804,5.0
a3P4u0000054mrZEAQ,1.0,578,-99.0
a3P4u0000054mrjEAA,0.0,753,-99.0
a3P4u0000054mryEAA,0.0,700,-99.0
a3P4u0000054ms3EAA,5.0,705,-99.0
a3P4u0000054msSEAQ,0.0,712,4.0
a3P4u0000054msXEAQ,0.0,633,-99.0
a3P4u0000054mscEAA,0.0,640,-99.0
a3P4u0000054msmEAA,-99999.0,222,-99.0
a3P4u0000054mswEAA,0.0,708,-99.0
a3P4u0000054mt1EAA,0.0,619,-99.0
a3P4u0000054mtBEAQ,0.0,719,-99.0
a3P4u0000054mtVEAQ,0.0,713,-99.0
a3P4u0000054mtaEAA,0.0,648,1.0
a3P4u0000054mtpEAA,-99999.0,222,-99.0
a3P4u0000054mtzEAA,0.0,703,-99.0
a3P4u0000054mu4EAA,0.0,696,-99.0
a3P4u0000054mu9EAA,0.0,781,7.0
a3P4u0000054muEEAQ,0.0,712,-99.0
a3P4u0000054muOEAQ,-99999.0,222,-99.0
a3P4u0000054muTEAQ,-99999.0,222,-99.0
a3P4u0000054muYEAQ,-99999.0,222,-99.0
a3P4u0000054munEAA,0.0,696,-99.0
a3P4u0000054musEAA,0.0,685,-99.0
a3P4u0000054muxEAA,0.0,691,-99.0
a3P4u0000054mv7EAA,0.0,677,-99.0
a3P4u0000054mvCEAQ,1.0,629,-99.0
a3P4u0000054mvMEAQ,0.0,703,-99.0
a3P4u0000054mvWEAQ,0.0,734,-99.0
a3P4u0000054mwEEAQ,0.0,663,0.0
a3P4u0000054mx3EAA,0.0,716,0.0
a3P4u0000054mx8EAA,0.0,701,-99.0
a3P4u0000054mxDEAQ,0.0,736,2.0
a3P4u0000054mxmEAA,3.0,512,1.0
a3P4u0000054my1EAA,0.0,685,-99.0
a3P4u0000054myGEAQ,0.0,688,-99.0
a3P4u0000054myQEAQ,0.0,731,-99.0
a3P4u0000054myaEAA,0.0,745,1.0
a3P4u0000054myuEAA,0.0,747,6.0
a3P4u0000054mzCEAQ,0.0,683,-99.0
a3P4u0000054mzMEAQ,1.0,654,1.0
a3P4u0000054mzqEAA,0.0,600,-99.0
a3P4u0000054n00EAA,-99999.0,222,-99.0
a3P4u0000054n05EAA,2.0,696,2.0
a3P4u0000054n0FEAQ,1.0,805,1.0
a3P4u0000054n0KEAQ,0.0,732,-99.0
a3P4u0000054n0PEAQ,-99999.0,222,-99.0
a3P4u0000054n0UEAQ,0.0,720,-99.0
a3P4u0000054n0ZEAQ,0.0,691,-99.0
a3P4u0000054n0jEAA,0.0,703,-99.0
a3P4u0000054n0tEAA,0.0,689,1.0
a3P4u0000054n0yEAA,0.0,747,-99.0
a3P4u0000054n13EAA,0.0,775,1.0
a3P4u0000054n18EAA,0.0,664,-99.0
a3P4u0000054n1IEAQ,0.0,667,-99.0
a3P4u0000054n1SEAQ,-99999.0,222,-99.0
a3P4u0000054n1oEAA,0.0,676,2.0
a3P4u0000054n1tEAA,0.0,587,-99.0
a3P4u0000054n2TEAQ,0.0,706,-99.0
a3P4u0000054n2YEAQ,0.0,713,-99.0
a3P4u0000054n2sEAA,1.0,597,-99.0
a3P4u0000054n3HEAQ,1.0,748,1.0
a3P4u0000054n3bEAA,0.0,682,-99.0
a3P4u0000054n3lEAA,0.0,691,-99.0
a3P4u0000054n3vEAA,0.0,737,-99.0
a3P4u0000054n4AEAQ,0.0,640,-99.0
a3P4u0000054n4PEAQ,0.0,759,2.0
a3P4u0000054n4oEAA,0.0,779,1.0
a3P4u0000054n53EAA,0.0,501,1.0
a3P4u0000054n5DEAQ,2.0,805,5.0
a3P4u0000054n5SEAQ,1.0,710,-99.0
a3P4u0000054n5XEAQ,0.0,706,-99.0
a3P4u0000054n5hEAA,0.0,629,-99.0
a3P4u0000054n5mEAA,1.0,725,-99.0
a3P4u0000054n66EAA,0.0,678,-99.0
a3P4u0000054n6LEAQ,1.0,724,3.0
a3P4u0000054n6VEAQ,0.0,748,1.0
a3P4u0000054n6kEAA,1.0,740,-99.0
a3P4u0000054n6pEAA,1.0,758,4.0
a3P4u0000054n6zEAA,0.0,701,-99.0
a3P4u0000054n7dEAA,0.0,739,-99.0
a3P4u0000054n7xEAA,0.0,695,-99.0
a3P4u0000054n87EAA,0.0,581,1.0
a3P4u0000054n8CEAQ,0.0,680,-99.0
a3P4u0000054n8HEAQ,1.0,758,-99.0
a3P4u0000054n8MEAQ,0.0,654,-99.0
a3P4u0000054n8REAQ,0.0,625,1.0
a3P4u0000054n8WEAQ,0.0,669,-99.0
a3P4u0000054n8bEAA,-99999.0,222,-99.0
a3P4u0000054n8gEAA,0.0,723,-99.0
a3P4u0000054n8lEAA,-99999.0,222,-99.0
a3P4u0000054n8vEAA,3.0,579,2.0
a3P4u0000054n9FEAQ,0.0,700,-99.0
a3P4u0000054n9KEAQ,-99999.0,222,-99.0
a3P4u0000054n9PEAQ,0.0,697,-99.0
a3P4u0000054n9UEAQ,0.0,704,-99.0
a3P4u0000054n9eEAA,2.0,709,-99.0
a3P4u0000054n9jEAA,1.0,724,-99.0
a3P4u0000054n9oEAA,0.0,701,-99.0
a3P4u0000054n9tEAA,0.0,690,-99.0
a3P4u0000054nAIEAY,0.0,678,-99.0
a3P4u0000054nANEAY,1.0,732,-99.0
a3P4u0000054nAhEAI,0.0,761,1.0
a3P4u0000054nAmEAI,1.0,698,-99.0
a3P4u0000054nArEAI,0.0,673,-99.0
a3P4u0000054nBREAY,3.0,659,2.0
a3P4u0000054nBaEAI,1.0,706,-99.0
a3P4u0000054nBfEAI,0.0,704,-99.0
a3P4u0000054nBkEAI,0.0,759,3.0
a3P4u0000054nBpEAI,0.0,736,-99.0
a3P4u0000054nBuEAI,0.0,686,-99.0
a3P4u0000054nBzEAI,1.0,713,3.0
a3P4u0000054nC9EAI,0.0,734,-99.0
a3P4u0000054nCEEAY,1.0,690,-99.0
a3P4u0000054nCJEAY,-99999.0,222,-99.0
a3P4u0000054nCTEAY,-99999.0,222,-99.0
a3P4u0000054nCYEAY,0.0,593,1.0
a3P4u0000054nCdEAI,0.0,707,-99.0
a3P4u0000054nCiEAI,2.0,763,-99.0
a3P4u0000054nCnEAI,1.0,726,0.0
a3P4u0000054nCsEAI,0.0,669,1.0
a3P4u0000054nCxEAI,0.0,671,-99.0
a3P4u0000054nDCEAY,1.0,629,-99.0
a3P4u0000054nDMEAY,0.0,692,0.0
a3P4u0000054nDWEAY,1.0,725,0.0
a3P4u0000054nDbEAI,0.0,728,2.0
a3P4u0000054nDlEAI,0.0,730,1.0
a3P4u0000054nEAEAY,-99999.0,222,-99.0
a3P4u0000054nEFEAY,-99999.0,222,-99.0
a3P4u0000054nEKEAY,0.0,678,-99.0
a3P4u0000054nEPEAY,-99999.0,222,-99.0
a3P4u0000054nEUEAY,0.0,687,-99.0
a3P4u0000054nEeEAI,0.0,737,1.0
a3P4u0000054nEtEAI,2.0,501,4.0
a3P4u0000054nEyEAI,0.0,738,1.0
a3P4u0000054nFDEAY,0.0,697,1.0
a3P4u0000054nFNEAY,1.0,702,2.0
a3P4u0000054nFXEAY,0.0,689,-99.0
a3P4u0000054nFwEAI,-99999.0,723,1.0
a3P4u0000054nG1EAI,0.0,691,-99.0
a3P4u0000054nJZEAY,1.0,685,3.0
a3P4u0000054nJjEAI,0.0,668,-99.0
a3P4u0000054nJoEAI,1.0,598,2.0
a3P4u0000054nJyEAI,-99999.0,222,-99.0
a3P4u0000054nK3EAI,-99999.0,722,1.0
a3P4u0000054nK8EAI,0.0,696,-99.0
a3P4u0000054nKIEAY,0.0,669,-99.0
a3P4u0000054nKNEAY,0.0,741,-99.0
a3P4u0000054nKSEAY,1.0,548,1.0
a3P4u0000054nKhEAI,0.0,721,-99.0
a3P4u0000054nKmEAI,0.0,671,1.0
a3P4u0000054nKrEAI,0.0,691,-99.0
a3P4u0000054nKwEAI,0.0,691,4.0
a3P4u0000054nLrEAI,0.0,716,2.0
a3P4u0000054nLwEAI,0.0,698,-99.0
a3P4u0000054nM1EAI,0.0,660,4.0
a3P4u0000054nM6EAI,0.0,745,-99.0
a3P4u0000054nMGEAY,0.0,674,-99.0
a3P4u0000054nMLEAY,0.0,665,2.0
a3P4u0000054nMVEAY,0.0,740,-99.0
a3P4u0000054nMkEAI,-99999.0,222,-99.0
a3P4u0000054nMpEAI,-99999.0,222,-99.0
a3P4u0000054nMuEAI,1.0,687,1.0
a3P4u0000054nMzEAI,0.0,668,-99.0
a3P4u0000054nN9EAI,0.0,698,-99.0
a3P4u0000054nNTEAY,2.0,601,1.0
a3P4u0000054nNYEAY,0.0,509,2.0
a3P4u0000054nNdEAI,0.0,708,-99.0
a3P4u0000054nNsEAI,0.0,705,1.0
a3P4u0000054nO2EAI,0.0,567,-99.0
a3P4u0000054nO7EAI,0.0,662,-99.0
a3P4u0000054nOCEAY,-99999.0,222,-99.0
a3P4u0000054nOMEAY,-99999.0,222,-99.0
a3P4u0000054nOREAY,0.0,686,-99.0
a3P4u0000054nOWEAY,0.0,721,-99.0
a3P4u0000054nObEAI,0.0,758,1.0
a3P4u0000054nOlEAI,0.0,652,-99.0
a3P4u0000054nOqEAI,0.0,661,-99.0
a3P4u0000054nOvEAI,0.0,699,-99.0
a3P4u0000054nP0EAI,0.0,724,-99.0
a3P4u0000054nP5EAI,0.0,742,-99.0
a3P4u0000054nPFEAY,0.0,686,-99.0
a3P4u0000054nQcEAI,0.0,649,-99.0
a3P4u0000054nR3EAI,0.0,649,-99.0
a3P4u0000054nRIEAY,0.0,715,-99.0
a3P4u0000054nRdEAI,0.0,722,-99.0
a3P4u0000054nRiEAI,0.0,691,1.0
a3P4u0000054nRsEAI,0.0,700,-99.0
a3P4u0000054nRxEAI,1.0,716,-99.0
a3P4u0000054nS2EAI,1.0,733,-99.0
a3P4u0000054nSCEAY,0.0,705,-99.0
a3P4u0000054nSbEAI,0.0,801,2.0
a3P4u0000054nSlEAI,1.0,741,1.0
a3P4u0000054nSvEAI,1.0,668,-99.0
a3P4u0000054nT0EAI,0.0,716,-99.0
a3P4u0000054nT5EAI,0.0,726,1.0
a3P4u0000054nTKEAY,0.0,696,-99.0
a3P4u0000054nTUEAY,0.0,714,-99.0
a3P4u0000054nToEAI,0.0,678,-99.0
a3P4u0000054nUREAY,0.0,707,-99.0
a3P4u0000054nXpEAI,0.0,692,1.0
a3P4u0000054nXuEAI,0.0,589,-99.0
a3P4u0000054nXzEAI,0.0,651,1.0
a3P4u0000054nY9EAI,0.0,734,1.0
a3P4u0000054nYEEAY,0.0,727,-99.0
a3P4u0000054nYOEAY,0.0,631,0.0
a3P4u0000054nYnEAI,0.0,642,-99.0
a3P4u0000054nYsEAI,0.0,666,-99.0
a3P4u0000054nYxEAI,-99999.0,739,1.0
a3P4u0000054naUEAQ,0.0,723,-99.0
a3P4u0000054nb3EAA,0.0,646,1.0
a3P4u0000054nbDEAQ,0.0,723,-99.0
a3P4u0000054nbIEAQ,0.0,708,-99.0
a3P4u0000054nbSEAQ,0.0,703,-99.0
a3P4u0000054nbXEAQ,-99999.0,222,-99.0
a3P4u0000054nbcEAA,0.0,703,-99.0
a3P4u0000054nbhEAA,0.0,633,-99.0
a3P4u0000054nbmEAA,0.0,667,-99.0
a3P4u0000054nbwEAA,2.0,708,3.0
a3P4u0000054nc1EAA,0.0,547,-99.0
a3P4u0000054nc6EAA,0.0,689,0.0
a3P4u0000054ncBEAQ,0.0,714,-99.0
a3P4u0000054ncGEAQ,6.0,501,8.0
a3P4u0000054ncLEAQ,1.0,739,-99.0
a3P4u0000054ncVEAQ,0.0,716,-99.0
a3P4u0000054ncaEAA,0.0,702,1.0
a3P4u0000054nczEAA,0.0,726,2.0
a3P4u0000054nd9EAA,1.0,691,-99.0
a3P4u0000054ni4EAA,0.0,723,-99.0
a3P4u0000054niEEAQ,0.0,578,1.0
a3P4u0000054niJEAQ,0.0,734,-99.0
a3P4u0000054niTEAQ,0.0,694,-99.0
a3P4u0000054niiEAA,1.0,679,-99.0
a3P4u0000054nixEAA,0.0,714,1.0
a3P4u0000054nj2EAA,0.0,686,1.0
a3P4u0000054njMEAQ,1.0,731,-99.0
a3P4u0000054njWEAQ,1.0,501,1.0
a3P4u0000054njbEAA,1.0,682,2.0
a3P4u0000054njlEAA,0.0,689,2.0
a3P4u0000054njvEAA,0.0,682,2.0
a3P4u0000054nk0EAA,0.0,700,-99.0
a3P4u0000054nk5EAA,0.0,723,-99.0
a3P4u0000054nkAEAQ,0.0,601,1.0
a3P4u0000054nkFEAQ,1.0,646,-99.0
a3P4u0000054nkKEAQ,1.0,672,2.0
a3P4u0000054nkPEAQ,2.0,604,6.0
a3P4u0000054nkUEAQ,1.0,717,-99.0
a3P4u0000054nkeEAA,0.0,677,-99.0
a3P4u0000054nkjEAA,0.0,723,-99.0
a3P4u0000054nkoEAA,2.0,516,-99.0
a3P4u0000054nkyEAA,0.0,765,-99.0
a3P4u0000054nl4EAA,0.0,719,-99.0
a3P4u0000054nl8EAA,0.0,730,-99.0
a3P4u0000054nlDEAQ,0.0,718,-99.0
a3P4u0000054nlXEAQ,0.0,821,2.0
a3P4u0000054nlmEAA,0.0,691,-99.0
a3P4u0000054nlwEAA,0.0,621,5.0
a3P4u0000054nm1EAA,0.0,694,-99.0
a3P4u0000054nmBEAQ,0.0,682,-99.0
a3P4u0000054nmGEAQ,0.0,720,-99.0
a3P4u0000054nmLEAQ,-99999.0,675,2.0
a3P4u0000054nmQEAQ,0.0,698,-99.0
a3P4u0000054nmVEAQ,0.0,647,1.0
a3P4u0000054nmaEAA,0.0,535,1.0
a3P4u0000054nmfEAA,1.0,561,1.0
a3P4u0000054nmpEAA,0.0,704,4.0
a3P4u0000054nmzEAA,0.0,728,1.0
a3P4u0000054nn9EAA,-99999.0,222,-99.0
a3P4u0000054nnEEAQ,0.0,652,-99.0
a3P4u0000054nnJEAQ,2.0,744,2.0
a3P4u0000054nnTEAQ,0.0,727,-99.0
a3P4u0000054nnUEAQ,0.0,695,1.0
a3P4u0000054nnYEAQ,1.0,656,-99.0
a3P4u0000054nniEAA,0.0,690,-99.0
a3P4u0000054nnnEAA,0.0,708,-99.0
a3P4u0000054nnsEAA,1.0,563,-99.0
a3P4u0000054no2EAA,0.0,725,-99.0
a3P4u0000054noHEAQ,0.0,755,3.0
a3P4u0000054noWEAQ,5.0,598,2.0
a3P4u0000054nobEAA,0.0,643,4.0
a3P4u0000054nogEAA,1.0,824,9.0
a3P4u0000054noqEAA,0.0,679,-99.0
a3P4u0000054novEAA,0.0,661,-99.0
a3P4u0000054np0EAA,0.0,690,-99.0
a3P4u0000054npKEAQ,0.0,713,-99.0
a3P4u0000054npUEAQ,0.0,620,-99.0
a3P4u0000054npjEAA,0.0,699,-99.0
a3P4u0000054npoEAA,0.0,674,-99.0
a3P4u0000054nq8EAA,0.0,661,2.0
a3P4u0000054nqDEAQ,0.0,660,-99.0
a3P4u0000054nqIEAQ,0.0,676,2.0
a3P4u0000054nqNEAQ,-99999.0,222,-99.0
a3P4u0000054nqcEAA,0.0,727,1.0
a3P4u0000054nqhEAA,0.0,711,-99.0
a3P4u0000054nqrEAA,0.0,687,-99.0
a3P4u0000054nr1EAA,1.0,651,-99.0
a3P4u0000054nrBEAQ,2.0,820,4.0
a3P4u0000054nrVEAQ,3.0,578,-99.0
a3P4u0000054nraEAA,0.0,691,-99.0
a3P4u0000054nrfEAA,0.0,719,-99.0
a3P4u0000054nrkEAA,-99999.0,222,-99.0
a3P4u0000054nrpEAA,0.0,683,-99.0
a3P4u0000054nruEAA,0.0,789,2.0
a3P4u0000054nsCEAQ,0.0,641,1.0
a3P4u0000054nsbEAA,0.0,748,-99.0
a3P4u0000054nsgEAA,1.0,754,3.0
a3P4u0000054nsvEAA,0.0,700,-99.0
a3P4u0000054nt0EAA,1.0,701,0.0
a3P4u0000054ntPEAQ,0.0,686,-99.0
a3P4u0000054ntUEAQ,0.0,729,-99.0
a3P4u0000054nuhEAA,2.0,846,3.0
a3P4u0000054nuwEAA,1.0,697,-99.0
a3P4u0000054nv6EAA,0.0,689,-99.0
a3P4u0000054nvGEAQ,0.0,720,-99.0
a3P4u0000054nvLEAQ,1.0,722,-99.0
a3P4u0000054nvaEAA,-99999.0,222,-99.0
a3P4u0000054nvuEAA,2.0,696,4.0
a3P4u0000054nvzEAA,0.0,707,-99.0
a3P4u0000054nw9EAA,2.0,745,-99.0
a3P4u0000054nwTEAQ,0.0,755,-99.0
a3P4u0000054nwYEAQ,0.0,718,1.0
a3P4u0000054nwnEAA,0.0,725,-99.0
a3P4u0000054nx2EAA,-99999.0,222,-99.0
a3P4u0000054nxCEAQ,1.0,669,2.0
a3P4u0000054nxHEAQ,-99999.0,222,-99.0
a3P4u0000054nxREAQ,1.0,719,-99.0
a3P4u0000054nxlEAA,1.0,730,5.0
a3P4u0000054nxvEAA,0.0,715,-99.0
a3P4u0000054nyAEAQ,0.0,607,1.0
a3P4u0000054nyKEAQ,-99999.0,222,-99.0
a3P4u0000054nyUEAQ,0.0,742,-99.0
a3P4u0000054nyjEAA,1.0,686,-99.0
a3P4u0000054nz8EAA,0.0,676,1.0
a3P4u0000054nzDEAQ,0.0,698,-99.0
a3P4u0000054nzIEAQ,0.0,685,-99.0
a3P4u0000054nzSEAQ,0.0,677,-99.0
a3P4u0000054nzhEAA,2.0,640,1.0
a3P4u0000054nzmEAA,0.0,689,-99.0
a3P4u0000054nzwEAA,-99999.0,222,-99.0
a3P4u0000054o06EAA,-99999.0,718,0.0
a3P4u0000054o0LEAQ,0.0,706,-99.0
a3P4u0000054o0QEAQ,0.0,710,1.0
a3P4u0000054o0kEAA,0.0,724,1.0
a3P4u0000054o0pEAA,3.0,723,2.0
a3P4u0000054o0uEAA,0.0,707,-99.0
a3P4u0000054o0zEAA,-99999.0,222,-99.0
a3P4u0000054o19EAA,1.0,748,5.0
a3P4u0000054o1JEAQ,0.0,724,-99.0
a3P4u0000054o1OEAQ,2.0,501,3.0
a3P4u0000054o1YEAQ,0.0,757,1.0
a3P4u0000054o1dEAA,0.0,586,1.0
a3P4u0000054o1nEAA,0.0,608,-99.0
a3P4u0000054o27EAA,0.0,679,-99.0
a3P4u0000054o2HEAQ,0.0,781,2.0
a3P4u0000054o2MEAQ,1.0,602,1.0
a3P4u0000054o2lEAA,-99999.0,222,-99.0
a3P4u0000054o3AEAQ,4.0,506,5.0
a3P4u0000054o3FEAQ,0.0,740,-99.0
a3P4u0000054o3KEAQ,1.0,663,-99.0
a3P4u0000054o3UEAQ,1.0,682,-99.0
a3P4u0000054o3eEAA,0.0,679,2.0
a3P4u0000054o3jEAA,0.0,757,-99.0
a3P4u0000054o3oEAA,-99999.0,222,-99.0
a3P4u0000054o3yEAA,1.0,673,-99.0
a3P4u0000054o43EAA,0.0,665,-99.0
a3P4u0000054o48EAA,3.0,719,3.0
a3P4u0000054o4NEAQ,6.0,675,1.0
a3P4u0000054o4SEAQ,3.0,501,0.0
a3P4u0000054o4XEAQ,0.0,735,-99.0
a3P4u0000054o4rEAA,-99999.0,222,-99.0
a3P4u0000054o4wEAA,0.0,685,-99.0
a3P4u0000054o51EAA,0.0,702,-99.0
a3P4u0000054o5BEAQ,-99999.0,222,-99.0
a3P4u0000054o5VEAQ,2.0,692,1.0
a3P4u0000054o5aEAA,2.0,796,3.0
a3P4u0000054o5fEAA,2.0,680,1.0
a3P4u0000054o5kEAA,1.0,645,-99.0
a3P4u0000054o64EAA,2.0,752,1.0
a3P4u0000054o69EAA,0.0,621,-99.0
a3P4u0000054o6EEAQ,0.0,600,-99.0
a3P4u0000054o6OEAQ,0.0,664,-99.0
a3P4u0000054o6YEAQ,-99999.0,222,-99.0
a3P4u0000054o6dEAA,1.0,740,0.0
a3P4u0000054o77EAA,0.0,702,-99.0
a3P4u0000054o7CEAQ,0.0,735,-99.0
a3P4u0000054o7HEAQ,0.0,713,-99.0
a3P4u0000054o7REAQ,0.0,717,-99.0
a3P4u0000054o7bEAA,0.0,693,-99.0
a3P4u0000054o7gEAA,0.0,695,-99.0
a3P4u0000054o7lEAA,0.0,688,1.0
a3P4u0000054o80EAA,-99999.0,222,-99.0
a3P4u0000054o8eEAA,0.0,600,2.0
a3P4u0000054o8jEAA,0.0,707,-99.0
a3P4u0000054o8oEAA,0.0,640,0.0
a3P4u0000054o93EAA,3.0,763,2.0
a3P4u0000054o9cEAA,3.0,767,8.0
a3P4u0000054o9hEAA,0.0,751,-99.0
a3P4u0000054oA1EAI,0.0,719,1.0
a3P4u0000054oA6EAI,1.0,691,1.0
a3P4u0000054oAGEAY,0.0,710,-99.0
a3P4u0000054oAaEAI,-99999.0,222,-99.0
a3P4u0000054oApEAI,2.0,609,-99.0
a3P4u0000054oAqEAI,0.0,722,-99.0
a3P4u0000054oB4EAI,-99999.0,222,-99.0
a3P4u0000054oBEEAY,-99999.0,222,-99.0
a3P4u0000054oBTEAY,0.0,714,-99.0
a3P4u0000054oBYEAY,1.0,676,-99.0
a3P4u0000054oC7EAI,0.0,681,-99.0
a3P4u0000054oD0EAI,0.0,707,-99.0
a3P4u0000054oDAEAY,1.0,768,2.0
a3P4u0000054oDKEAY,0.0,640,1.0
a3P4u0000054oDZEAY,0.0,711,-99.0
a3P4u0000054oDeEAI,0.0,713,1.0
a3P4u0000054oDwEAI,-99999.0,222,-99.0
a3P4u0000054oE1EAI,0.0,636,-99.0
a3P4u0000054oEQEAY,0.0,717,1.0
a3P4u0000054oEVEAY,0.0,696,-99.0
a3P4u0000054oEaEAI,0.0,649,-99.0
a3P4u0000054oEfEAI,0.0,636,1.0
a3P4u0000054oEkEAI,0.0,707,-99.0
a3P4u0000054oEpEAI,0.0,694,1.0
a3P4u0000054oF4EAI,-99999.0,222,-99.0
a3P4u0000054oF9EAI,0.0,678,-99.0
a3P4u0000054oFEEAY,1.0,705,1.0
a3P4u0000054oFJEAY,0.0,699,-99.0
a3P4u0000054oFOEAY,0.0,611,-99.0
a3P4u0000054oFYEAY,0.0,712,-99.0
a3P4u0000054oFdEAI,0.0,637,1.0
a3P4u0000054oFnEAI,0.0,685,-99.0
a3P4u0000054oFsEAI,0.0,664,-99.0
a3P4u0000054oGCEAY,0.0,703,-99.0
a3P4u0000054oGMEAY,0.0,639,1.0
a3P4u0000054oGREAY,-99999.0,222,-99.0
a3P4u0000054oGWEAY,0.0,731,-99.0
a3P4u0000054oGlEAI,0.0,697,-99.0
a3P4u0000054oH0EAI,1.0,620,-99.0
a3P4u0000054oHAEAY,5.0,702,1.0
a3P4u0000054oHeEAI,0.0,704,-99.0
a3P4u0000054oHoEAI,2.0,713,4.0
a3P4u0000054oHtEAI,0.0,677,-99.0
a3P4u0000054oHyEAI,1.0,584,-99.0
a3P4u0000054oI3EAI,-99999.0,222,-99.0
a3P4u0000054oIDEAY,0.0,690,-99.0
a3P4u0000054oINEAY,0.0,673,-99.0
a3P4u0000054oISEAY,0.0,691,-99.0
a3P4u0000054oJLEAY,0.0,720,-99.0
a3P4u0000054oJQEAY,0.0,679,-99.0
a3P4u0000054oJaEAI,0.0,643,-99.0
a3P4u0000054oJfEAI,0.0,748,1.0
a3P4u0000054oJkEAI,0.0,708,-99.0
a3P4u0000054oJzEAI,1.0,762,3.0
a3P4u0000054oKOEAY,0.0,706,-99.0
a3P4u0000054oKUEAY,0.0,662,-99.0
a3P4u0000054oKnEAI,0.0,764,-99.0
a3P4u0000054oKxEAI,-99999.0,222,-99.0
a3P4u0000054oL2EAI,-99999.0,222,-99.0
a3P4u0000054oL7EAI,1.0,733,2.0
a3P4u0000054oLCEAY,3.0,556,0.0
a3P4u0000054oLHEAY,0.0,709,-99.0
a3P4u0000054oLMEAY,0.0,664,1.0
a3P4u0000054oLWEAY,-99999.0,222,-99.0
a3P4u0000054oLbEAI,0.0,698,-99.0
a3P4u0000054oLgEAI,0.0,749,-99.0
a3P4u0000054oMAEAY,1.0,716,3.0
a3P4u0000054oMFEAY,0.0,621,-99.0
a3P4u0000054oMKEAY,0.0,594,-99.0
a3P4u0000054oMUEAY,0.0,727,-99.0
a3P4u0000054oMeEAI,0.0,748,-99.0
a3P4u0000054oMjEAI,1.0,659,-99.0
a3P4u0000054oNAEAY,0.0,598,-99.0
a3P4u0000054oNFEAY,0.0,743,1.0
a3P4u0000054oNKEAY,0.0,721,-99.0
a3P4u0000054oNPEAY,2.0,698,-99.0
a3P4u0000054oNZEAY,0.0,706,-99.0
a3P4u0000054oNeEAI,0.0,646,1.0
a3P4u0000054oNtEAI,0.0,688,-99.0
a3P4u0000054oNyEAI,0.0,708,3.0
a3P4u0000054oO8EAI,1.0,728,-99.0
a3P4u0000054oOLEAY,2.0,676,-99.0
a3P4u0000054oOQEAY,0.0,689,-99.0
a3P4u0000054oOVEAY,0.0,683,-99.0
a3P4u0000054oOaEAI,0.0,661,-99.0
a3P4u0000054oOpEAI,0.0,786,3.0
a3P4u0000054oOzEAI,0.0,688,-99.0
a3P4u0000054oP4EAI,0.0,686,-99.0
a3P4u0000054oPJEAY,2.0,760,3.0
a3P4u0000054oPTEAY,0.0,554,-99.0
a3P4u0000054oPdEAI,0.0,712,-99.0
a3P4u0000054oPiEAI,0.0,701,-99.0
a3P4u0000054oPsEAI,0.0,730,-99.0
a3P4u0000054oPxEAI,0.0,707,-99.0
