name,b2bcnt2y,model2score,sbfecardcount
Application-437580,1.0,592,1.0
Application-399720,1.0,639,-99.0
Application-382880,0.0,673,-99.0
Application-448713,2.0,519,0.0
Application-385555,0.0,704,-99.0
Application-374965,-99999.0,222,-99.0
Application-376396,0.0,747,-99.0
Application-442904,1.0,614,2.0
Application-417313,0.0,707,-99.0
Application-445975,0.0,631,-99.0
Application-419657,0.0,746,-99.0
Application-400424,0.0,710,-99.0
Application-409805,0.0,708,-99.0
Application-397733,-99999.0,222,-99.0
Application-411393,1.0,501,-99.0
Application-406716,0.0,681,-99.0
Application-412610,0.0,664,-99.0
Application-381756,0.0,532,-99.0
Application-442053,0.0,671,-99.0
Application-406619,0.0,635,-99.0
Application-390794,-99999.0,222,-99.0
Application-428905,0.0,698,-99.0
Application-420623,0.0,605,-99.0
Application-381197,3.0,577,-99.0
Application-412184,0.0,607,-99.0
Application-410227,0.0,654,-99.0
Application-439139,0.0,721,-99.0
Application-419347,1.0,632,2.0
Application-429306,0.0,634,-99.0
Application-438905,0.0,646,-99.0
Application-407607,0.0,731,-99.0
Application-430507,0.0,658,-99.0
Application-430363,0.0,628,-99.0
Application-437161,0.0,634,1.0
Application-420792,1.0,691,-99.0
Application-425581,0.0,634,2.0
Application-390779,0.0,663,-99.0
Application-442795,2.0,631,-99.0
Application-444785,3.0,625,1.0
Application-394403,0.0,642,-99.0
Application-415855,0.0,702,-99.0
Application-435959,0.0,694,-99.0
Application-415842,1.0,638,0.0
Application-431098,1.0,623,1.0
Application-444003,0.0,689,-99.0
Application-440258,1.0,671,-99.0
Application-406988,0.0,677,-99.0
Application-438045,0.0,732,-99.0
Application-391090,0.0,717,-99.0
Application-449044,0.0,583,2.0
Application-422163,0.0,667,-99.0
Application-437173,8.0,741,9.0
Application-433792,0.0,712,-99.0
Application-444235,0.0,703,-99.0
Application-435452,-99999.0,222,-99.0
Application-430517,-99999.0,222,-99.0
Application-440340,1.0,706,-99.0
Application-422289,0.0,722,-99.0
Application-432261,0.0,693,-99.0
Application-447402,0.0,687,-99.0
Application-439457,1.0,686,-99.0
Application-445848,0.0,688,-99.0
Application-382881,0.0,749,-99.0
Application-428391,0.0,716,-99.0
Application-437581,1.0,717,-99.0
Application-405197,0.0,680,-99.0
Application-431262,0.0,715,-99.0
Application-379085,0.0,595,0.0
Application-437882,0.0,658,-99.0
Application-439542,1.0,746,2.0
Application-402392,-99999.0,222,-99.0
Application-424132,1.0,674,-99.0
Application-416764,0.0,594,-99.0
Application-381422,0.0,674,1.0
Application-412592,-99999.0,222,-99.0
Application-432443,0.0,618,-99.0
Application-412821,0.0,725,-99.0
Application-424702,0.0,748,-99.0
Application-430944,0.0,734,-99.0
